id	title	description	colors	months	URL	画像アドレス1	画像アドレス2	画像アドレス3	画像アドレス4	画像アドレス5	画像アドレス6	画像アドレス7	画像アドレス8	画像アドレス9	画像アドレス10	画像アドレス11
0001	アダン		other	8月	https://kametorakusabana.fc2.page/%e3%82%a2%e3%83%80%e3%83%b3/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/asdan_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/adan_00.jpg									
0002	アカボシタツナミソウ		purple		https://kametorakusabana.fc2.page/akaboshitatunamisou/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/akaboshitatsunamisou_00-1.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/akaboshitatsunamisou_03-1.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/akaboshitatsunamisou_02-1.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/akaboshitatsunamisou_01-1.jpg							
0003	アカカタバミ		yellow		https://kametorakusabana.fc2.page/akakatabami/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/akakatabami_00.jpg										
0004	アカメガシワ		other		https://kametorakusabana.fc2.page/akamegasiwa/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/akamegasiwa_00.jpg										
0005	アキノキリンソウ		yellow		https://kametorakusabana.fc2.page/akinokirinsou/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/akinokirinsou_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/akinokirinsou_02.jpg									
0006	アキノノゲシ		yellow		https://kametorakusabana.fc2.page/akinonogeshi/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/akinonogesi_00.jpg										
0007	アマクサギ	花は白ですが、実は真っ赤な花が開いたようです。	"white,red"		https://kametorakusabana.fc2.page/amakusagi/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amakusagi_03.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amakusagi_02.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amakusagi_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amakusagi_00-1.jpg							
0008	アマミフユイチゴ	2018年6月　湯湾岳	white	6月	https://kametorakusabana.fc2.page/amamifuyuitigo/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amamifuyuichigo_00.jpg										
0009	アマミヒイラギモチ		other		https://kametorakusabana.fc2.page/amamihiiragimoti/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amamihiiragimoti_00.jpg										
0010	アマミクサアジサイ		purple		https://kametorakusabana.fc2.page/amamikusaazisai/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amamikusaajisai_03-1.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amamikusaajisai_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amamikusaajisai_02.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amamikusaajisai_01.jpg							
0011	アマミセイシカ		white		https://kametorakusabana.fc2.page/amamiseishika/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amamiseisika_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amamiseisika_01.jpg									
0012	アマミテンナンショウ		green		https://kametorakusabana.fc2.page/amamitennanshou/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amamitennanshou_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amamitennanshou_2025_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amamitennanshou_2025_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/tenanshou_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/tenanshou_00.jpg						
0013	アマシバ		white		https://kametorakusabana.fc2.page/amashiba/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amashiba_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amashiba_01.jpg									
0014	アメリカフウロ		red		https://kametorakusabana.fc2.page/amerikahuuro/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amerikafuuro_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/americafuuro_20250421_00.jpg									
0015	アメリカハマグルマ		yellow		https://kametorakusabana.fc2.page/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab%e3%83%8f%e3%83%9e%e3%82%b0%e3%83%ab%e3%83%9e/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamaguruma_00.jpg										
0016	アメリカイヌホオズキ		white		https://kametorakusabana.fc2.page/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab%e3%82%a4%e3%83%8c%e3%83%9b%e3%82%aa%e3%82%ba%e3%82%ad/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amerikainuhoozuki_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amerikainuhoozuki_01-1536x1152.jpg									
0017	アメリカクルマバナ		yellow		https://kametorakusabana.fc2.page/amerikakurumabana/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/americahamaguruma_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/americahamaguruma_01.jpg									
0018	アメリカネナシカズラ		white		https://kametorakusabana.fc2.page/amerikanenashikazura/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amerikanenasikazura_01-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/amerikanenasikazura_00.jpg									
